runtime, instance number, max population size, population size, max offspring, number of offspring, mean
3.349, 1, 4, 3, 45,44, 1.3602322753276714
3.367, 1, 4, 3, 46,45, 1.380501756980304
3.418, 1, 4, 3, 47,46, 1.3736629849229083
3.356, 1, 4, 3, 48,47, 1.3605104116670677
3.331, 1, 4, 3, 49,48, 1.362464715092218
3.373, 1, 4, 3, 50,49, 1.380357762869664
5.277, 1, 5, 4, 1,0, 1.418381933276259
4.973, 1, 5, 4, 2,1, 1.3641147970009966
4.661, 1, 5, 4, 3,2, 1.4014955116337666
4.467, 1, 5, 4, 4,3, 1.3619452336866866
4.293, 1, 5, 4, 5,4, 1.3395217158633204
4.224, 1, 5, 4, 6,5, 1.3770404887179803
4.109, 1, 5, 4, 7,6, 1.3590495506006064
3.991, 1, 5, 4, 8,7, 1.3965241139428297
3.938, 1, 5, 4, 9,8, 1.3547674243818146
3.888, 1, 5, 4, 10,9, 1.352735523318827
3.812, 1, 5, 4, 11,10, 1.3753474415324647
3.779, 1, 5, 4, 12,11, 1.3985623609169813
3.736, 1, 5, 4, 13,12, 1.3458796770983372
3.707, 1, 5, 4, 14,13, 1.387966162572819
3.707, 1, 5, 4, 15,14, 1.3524327154336273
3.677, 1, 5, 4, 16,15, 1.3724147177936554
3.647, 1, 5, 4, 17,16, 1.3528263555171676
3.646, 1, 5, 4, 18,17, 1.3595687980670095
3.569, 1, 5, 4, 19,18, 1.369531497884138
3.593, 1, 5, 4, 20,19, 1.3836227105586354
3.59, 1, 5, 4, 21,20, 1.3468944689936533
3.541, 1, 5, 4, 22,21, 1.3517616633365632
3.515, 1, 5, 4, 23,22, 1.381305552324866
3.509, 1, 5, 4, 24,23, 1.3917532793976932
3.467, 1, 5, 4, 25,24, 1.3610067037805118
3.487, 1, 5, 4, 26,25, 1.3619256753781308
3.478, 1, 5, 4, 27,26, 1.3491337962456122
3.452, 1, 5, 4, 28,27, 1.3772470814437696
3.438, 1, 5, 4, 29,28, 1.3602029243950429
3.476, 1, 5, 4, 30,29, 1.4024297051196757
3.454, 1, 5, 4, 31,30, 1.3629216366550412
3.438, 1, 5, 4, 32,31, 1.3822308521473945
3.447, 1, 5, 4, 33,32, 1.36772243204695
3.43, 1, 5, 4, 34,33, 1.3954171985509114
3.416, 1, 5, 4, 35,34, 1.3429680560902173
3.41, 1, 5, 4, 36,35, 1.358323253798316
3.402, 1, 5, 4, 37,36, 1.3857518092249896
3.426, 1, 5, 4, 38,37, 1.3771224685029626
3.416, 1, 5, 4, 39,38, 1.3649761857394291
3.435, 1, 5, 4, 40,39, 1.3639528175137838
3.402, 1, 5, 4, 41,40, 1.348658215304805
3.394, 1, 5, 4, 42,41, 1.344968418530392
3.406, 1, 5, 4, 43,42, 1.3568139210907229
3.372, 1, 5, 4, 44,43, 1.3528555990639033
3.384, 1, 5, 4, 45,44, 1.3683419624689803
3.347, 1, 5, 4, 46,45, 1.3770907509387231
3.342, 1, 5, 4, 47,46, 1.3623756689422988
3.381, 1, 5, 4, 48,47, 1.3644916480284373
3.343, 1, 5, 4, 49,48, 1.353525266538794
3.354, 1, 5, 4, 50,49, 1.3651424184601428
5.308, 1, 6, 5, 1,0, 1.4417435363101248
4.958, 1, 6, 5, 2,1, 1.3882350888492527
4.698, 1, 6, 5, 3,2, 1.4024905855811418
4.522, 1, 6, 5, 4,3, 1.3891207909197354
4.375, 1, 6, 5, 5,4, 1.3645290232244214
4.833, 1, 6, 5, 6,5, 1.3524873187573174
4.202, 1, 6, 5, 7,6, 1.3799242144520802
4.132, 1, 6, 5, 8,7, 1.3462861275078164
4.046, 1, 6, 5, 9,8, 1.3946742740447673
4.031, 1, 6, 5, 10,9, 1.3713007614670352
3.943, 1, 6, 5, 11,10, 1.3514124692058576
3.905, 1, 6, 5, 12,11, 1.357951079621717
3.895, 1, 6, 5, 13,12, 1.322713234846949
3.791, 1, 6, 5, 14,13, 1.3820219564096228
3.76, 1, 6, 5, 15,14, 1.3653747232965268
3.771, 1, 6, 5, 16,15, 1.3699202267298114
3.694, 1, 6, 5, 17,16, 1.3483679055952924
3.694, 1, 6, 5, 18,17, 1.3578254656228301
3.694, 1, 6, 5, 19,18, 1.3573606393053883
3.638, 1, 6, 5, 20,19, 1.3459983121587253
3.662, 1, 6, 5, 21,20, 1.3998323116907716
3.63, 1, 6, 5, 22,21, 1.38974574041544
3.608, 1, 6, 5, 23,22, 1.3747656126676677
3.616, 1, 6, 5, 24,23, 1.3629203209202418
3.556, 1, 6, 5, 25,24, 1.3562098887649667
3.547, 1, 6, 5, 26,25, 1.3629347075748335
3.586, 1, 6, 5, 27,26, 1.3497619551631295
3.536, 1, 6, 5, 28,27, 1.427699607983488
3.536, 1, 6, 5, 29,28, 1.383335138448491
3.564, 1, 6, 5, 30,29, 1.3942702164506768
3.517, 1, 6, 5, 31,30, 1.3758462137838978
3.523, 1, 6, 5, 32,31, 1.3705406013209236
3.539, 1, 6, 5, 33,32, 1.3519467406043248
3.498, 1, 6, 5, 34,33, 1.3993752422801888
3.515, 1, 6, 5, 35,34, 1.3758909353443007
3.543, 1, 6, 5, 36,35, 1.3559947339164746
3.477, 1, 6, 5, 37,36, 1.4111996493813386
3.478, 1, 6, 5, 38,37, 1.3965734739825293
3.502, 1, 6, 5, 39,38, 1.3521980339252535
3.443, 1, 6, 5, 40,39, 1.3739844696585846
3.467, 1, 6, 5, 41,40, 1.3998458844695696
3.473, 1, 6, 5, 42,41, 1.3741827802242192
3.44, 1, 6, 5, 43,42, 1.3495834725403677
3.436, 1, 6, 5, 44,43, 1.3940330068589641
3.462, 1, 6, 5, 45,44, 1.337357545439575
3.438, 1, 6, 5, 46,45, 1.3758948952344592
3.413, 1, 6, 5, 47,46, 1.392385168526149
3.439, 1, 6, 5, 48,47, 1.4337286836891807
3.427, 1, 6, 5, 49,48, 1.41176507658374
3.439, 1, 6, 5, 50,49, 1.3878310338986308
5.327, 1, 7, 6, 1,0, 1.4307917188182486
5.016, 1, 7, 6, 2,1, 1.4444223254593394
4.802, 1, 7, 6, 3,2, 1.420660732841038
4.587, 1, 7, 6, 4,3, 1.3679496346682192
4.477, 1, 7, 6, 5,4, 1.3840740310246569
4.315, 1, 7, 6, 6,5, 1.3650669179186736
4.227, 1, 7, 6, 7,6, 1.3851906459866279
4.143, 1, 7, 6, 8,7, 1.3757590245304707
4.056, 1, 7, 6, 9,8, 1.3584137315109506
4.005, 1, 7, 6, 10,9, 1.3434451662540356
3.942, 1, 7, 6, 11,10, 1.3573633137321552
3.884, 1, 7, 6, 12,11, 1.38288595310404
3.842, 1, 7, 6, 13,12, 1.3853764032651035
3.815, 1, 7, 6, 14,13, 1.3780701787676413
3.766, 1, 7, 6, 15,14, 1.3749748778409026
3.764, 1, 7, 6, 16,15, 1.3774977778787716
3.73, 1, 7, 6, 17,16, 1.3813551548862557
3.711, 1, 7, 6, 18,17, 1.3785884380124278
